TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VALE3;78,7;6,96;22,39;1,83;0,76;35,08;15,71;7,26;10,35;12,45;2,1;0,37;1,63;20,65;-0,94;1,24;8,16;3,41;2,67;0,42;0,57;0,47;0,72;-10,2;1436536795,68;43,07;3,51;-0,44;349361873426,8
GGBR3;20;3,4;24,22;0,75;0,49;12,02;6,05;2,37;9,48;12,51;1,97;0,16;0,57;2,18;-0,76;2,76;3,11;2,02;4,41;0,65;0,35;0,85;9,78;-7,07;910352,45;26,58;0,83;-0,49;44115823288,4
GGBR4;23,48;2,9;28,43;0,88;0,58;12,02;6,05;2,37;11,13;12,51;1,97;0,16;0,67;2,56;-0,89;2,76;3,11;2,02;4,41;0,65;0,35;0,85;9,78;-7,07;216223346,78;26,58;0,83;-0,57;44115823288,4
MBRF3;15,76;17,83;57,9;1,93;0,16;12,38;3,47;0,23;3,88;12,61;8,73;4,35;0,13;6,07;-0,26;1,08;3,34;0,28;4,71;0,08;0,9;1,19;19,43;-35,05;113837996,23;8,15;0,27;-0,67;22094197862,08
KLBN11;17,05;8,35;28,5;2,35;0,34;29,8;16,18;3,59;6,33;13,67;7,34;2,73;1,02;3,02;-0,46;1,78;8,26;1,2;6,8;0,15;0,75;0,33;11,61;;88849391,95;7,25;0,6;-0,49;21283442878,5
KLBN3;3,45;8,25;28,83;2,38;0,35;29,8;16,18;3,59;6,4;13,67;7,34;2,73;1,04;3,06;-0,47;1,78;8,26;1,2;6,8;0,15;0,75;0,33;11,61;;4770701,35;1,45;0,12;-0,49;21283442878,5
KLBN4;3,42;8,33;28,58;2,36;0,34;29,8;16,18;3,59;6,35;13,67;7,34;2,73;1,03;3,03;-0,46;1,78;8,26;1,2;6,8;0,15;0,75;0,33;11,61;;20320755,55;1,45;0,12;-0,49;21283442878,5
ROMI3;6,36;8,49;7,65;0,48;0,22;28,18;6,45;6,08;7,21;14;6,79;0,45;0,46;0,65;-0,58;2,27;6,24;2,93;1,82;0,47;0,53;0,48;6,39;-14,99;1030110,43;13,33;0,83;-0,28;592565950,92
ZAMP3;3,5;;34,09;1,02;0,32;65,87;3,05;0,77;8,64;14,38;5,74;0,68;0,26;-4,99;-0,41;0,77;3;0,93;6,13;0,31;0,69;1,21;18,51;;247849;3,43;0,1;-0,26;1424270382,5
UNIP3;57,21;16,17;17,28;3,46;0,87;25,68;12,43;7,48;10,4;14,46;3,87;1,29;1,29;4,91;-1,31;2,09;20,01;5,02;8,31;0,25;0,75;0,67;5,86;0,38;294861,18;16,55;3,31;-0,41;6595447303,31
UNIP6;58,84;17,3;17,77;3,56;0,89;25,68;12,43;7,48;10,69;14,46;3,87;1,29;1,33;5,05;-1,35;2,09;20,01;5,02;8,31;0,25;0,75;0,67;5,86;0,38;12220991,39;16,55;3,31;-0,42;6595447303,31
CSMG3;56,85;3,96;15,95;2,47;1,01;41,86;23,17;16,14;11,11;14,64;3,53;0,78;2,57;13,46;-1,26;1,6;15,46;6,31;7,72;0,41;0,59;0,39;9,29;10,67;255725139,09;23,06;3,56;-5,77;21617386972,65
HBOR3;2,17;0,93;51,69;0,2;0,04;30,22;10,57;0,48;2,34;15,76;13,42;1,15;0,25;0,17;-0,08;2,34;0,39;0,08;2,12;0,22;0,58;0,18;2,99;-26,68;1859459,18;10,82;0,04;-0,57;290456826,24
SOJA3;6,11;4,87;35,16;0,65;0,25;10,86;4,08;0,94;8,11;15,92;7,81;0,62;0,33;0,47;-0,78;4,6;1,84;0,71;1,65;0,39;0,61;0,76;34,83;-18,88;5799386,27;9,42;0,17;-0,47;867025423,68
EMBJ3;72,33;0,6;31,62;3,12;0,79;17,69;8,07;3,93;15,41;16,27;0,86;0,17;1,24;4,4;-1,78;1,48;9,85;2,5;9,54;0,25;0,72;0,64;16,35;;415173852,23;23,21;2,29;-1,35;53557836632,52
ENEV3;23,89;;35,71;2,27;0,79;27,4;20,71;6,94;11,97;16,74;4,77;0,91;2,48;13,95;-0,96;1,48;6,36;2,21;6,48;0,35;0,62;0,32;41,53;5,16;264697722,05;10,52;0,67;0,22;46275635161,13
ELMD3;31;;39,74;4,53;1,39;49,42;24,62;8,95;14,44;17,04;2,6;0,82;3,55;10,24;-2,04;1,76;11,4;3,51;9,18;0,31;0,63;0,39;32;51,88;704100;6,85;0,78;8,29;4455057771
BBAS3;19,17;2,87;6,99;0,57;0,04;30,81;1,95;4,82;17,29;17,29;;;0,34;1,99;-0,04;9,47;8,2;0,6;;0,07;0,92;0,12;26,49;3,4;576063867,82;33,45;2,74;-0,19;109860088546,8
TTEN3;14,08;1,29;9,9;1,48;0,48;15,32;2,95;4,16;13,97;18,22;4,25;0,45;0,41;3,7;-1,3;1,26;14,93;4,86;1,59;0,33;0,67;1,17;39,47;23,67;20142723;9,53;1,42;-0,97;7050386069,76
TOTS3;33,1;1,96;21,43;4;1,52;70,63;19,91;15,41;16,59;19,46;2,87;0,69;3,3;13,69;-2,14;1,62;18,65;7,09;9,64;0,38;0,59;0,46;17,33;25,71;357213170,65;8,28;1,54;1,2;19840192331,1
WEGE3;42,46;5,1;28,35;10,04;4,11;33,24;19,66;15,64;22,55;22,13;-0,42;-0,19;4,43;18,41;-11,11;1,55;35,43;14,49;28,32;0,41;0,56;0,93;18,49;21,85;302620875,86;4,23;1,5;66,45;178218122195,08
SCAR3;12,67;56,04;16,32;0,7;0,26;46,94;18,55;15,76;13,86;22,66;8,79;0,45;2,57;5,58;-0,32;1,36;4,32;1,59;1,84;0,37;0,64;0,1;-2,45;-12,49;483124,73;17,99;0,78;-0,06;731531831,73
CBAV3;10,72;0,41;56,98;1,51;0,49;8,35;4,96;1,4;16,08;23,29;7,22;0,68;0,8;2,78;-0,75;2,11;2,65;0,87;2,32;0,33;0,66;0,62;10,19;;30916967,82;7,11;0,19;-1,77;6979499311,84
SHUL4;4,77;13,35;6,24;1,12;0,57;22,44;10,96;14,43;8,22;24,16;-0,65;-0,09;0,9;1,46;-1,59;2,56;17,86;9,13;8,48;0,51;0,49;0,63;13,02;14;3085029;4,28;0,76;2,5;5146372601,16
PRIO3;61,12;;20,59;2;0,84;25,55;18,08;14,65;16,69;24,23;7,54;0,91;3,02;10,45;-1,01;1,92;9,72;4,08;2,82;0,42;0,58;0,28;52,26;41,73;542553401,36;30,52;2,97;-0,27;53326910474,56
ORVR3;77,9;;87,84;5,13;1,68;45,33;29,51;7,47;22,25;26,37;4,12;0,95;6,57;9,94;-2,42;2,27;5,84;1,92;8,1;0,33;0,65;0,26;21,79;88,89;61071526,82;15,19;0,89;0,45;7488283250,9
AXIA3;50,76;7,19;15,66;1,23;0,53;47,02;15,92;21,89;21,54;28,59;6,61;0,38;3,43;5,15;-0,67;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;479053925,48;41,16;3,24;-9,74;152455006393,06
AXIA6;55,78;7,19;17,21;1,36;0,59;47,02;15,92;21,89;23,67;28,59;6,61;0,38;3,77;5,66;-0,73;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;101003559,7;41,16;3,24;-10,71;152455006393,06
AXIA7;49,04;;15,13;1,19;0,52;47,02;15,92;21,89;20,81;28,59;6,61;0,38;3,31;4,97;-0,64;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;74071719,05;41,16;3,24;-9,41;152455006393,06
BMEB3;58,11;2,94;8,95;2,41;0,19;47,54;2,97;8,95;26,98;29,9;;;0,8;0,97;-0,24;;26,89;2,15;;0,08;0,92;0,24;29,99;34,51;326946,68;24,16;6,5;0,13;7967120084,1
BMEB4;77,7;2,42;11,96;3,22;0,26;47,54;2,97;8,95;36,08;29,9;;;1,07;1,3;-0,32;;26,89;2,15;;0,08;0,92;0,24;29,99;34,51;2323623;24,16;6,5;0,17;7967120084,1
BRBI11;15,25;10,23;9,44;2,02;0,09;100;2,94;52,02;166,84;40,05;-126,79;-1,53;4,91;2,76;-7,5;1,03;21,38;0,93;-0,23;0,04;0,96;0,02;-23,54;13,84;4827187,43;7,56;1,62;-1;1601184486
BIOM3;6,84;;38,91;2,89;1,63;36,48;7,59;7,47;38,29;40,7;2,42;0,18;2,91;6,7;-3,72;1,77;7,44;4,2;5,48;0,56;0,44;0,56;35,63;;1733850,77;2,36;0,18;-0,29;936070990,56
SAUD3;12,59;6,06;65,16;25,71;17,33;34,83;30,64;23,09;49,11;48,41;-0,7;-0,37;15,05;406,09;-25,17;1,16;39,45;26,59;19,06;0,67;0,32;1,15;6,51;9,36;64693643,43;0,49;0,19;133,52;36815674613,29
FESA4;6,2;11,25;13,54;0,67;0,5;16,79;1,4;7,06;68,22;67,31;-19,91;-0,19;0,96;1,79;-0,82;3,27;4,93;3,66;-0,51;0,74;0,26;0,52;7,55;18,3;5849644,83;9,29;0,46;-0,28;2799500500
BPAN4;12,71;;41,58;2,12;0,23;34,9;0,19;2,58;565,76;565,76;;;1,07;-523,71;-0,23;0,05;5,1;0,56;;0,11;0,89;0,22;10,77;-9;114514167;5,99;0,31;-1,09;16129880843,9
